Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault
1977,3690000,15293,524,929,3572,10268
1978,3742000,15682,499,954,3708,10521
1979,3769000,15578,496,1037,4127,9918
1980,3861466,17320,509,1158,5102,10551
1981,3916000,18423,465,1021,4952,11985
1982,3943000,17653,417,1026,4417,11793
1983,3959000,16471,364,931,3895,11281
1984,3990000,17204,374,1002,3833,11995
1985,4021000,18398,396,1079,4237,12686
1986,4053000,22616,409,1150,4523,16534
1987,4083000,22833,380,1137,4581,16735
1988,4127000,23052,408,1228,4860,16556
1989,4118000,24329,421,1276,5515,17117
1990,4040587,28630,467,1319,5805,21039
1991,4089000,34518,469,1455,6246,26348
1992,4136000,36052,455,1704,6819,27074
1993,4187000,32676,484,1471,6677,24044
1994,4219000,28844,501,1487,7223,19633
1995,4253000,26894,475,1350,7900,17169
1996,4273000,24159,444,1397,7124,15194
1997,4319000,24379,426,1396,6931,15626
1998,4352000,22286,354,1443,5698,14791
1999,4369862,21421,345,1513,5297,14266
2000,4447100,21620,329,1482,5702,14107
2001,4468912,19582,379,1369,5584,12250
2002,4478896,19931,303,1664,5962,12002
2003,4503726,19331,299,1656,6038,11338
2004,4525375,19324,254,1742,6042,11286
2005,4548327,19678,374,1564,6447,11293
2006,4599030,19553,382,1646,7062,10463
2007,4627851,20775,412,1548,7398,11417
2008,4661900,21110,351,1618,7346,11795
2009,4708708,21194,322,1504,6265,13103
2010,4785401,18363,275,1355,4864,11869
2011,4803689,20166,299,1370,4906,13591
2012,4822023,21693,342,1296,5020,15035
