Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault
1977,21896000,154582,2515,10825,62852,78390
1978,22294000,165626,2611,11316,68235,83464
1979,22696000,184087,2952,12239,75767,93129
1980,23532680,210290,3411,13693,90420,102766
1981,24159000,208485,3143,13566,93781,97995
1982,24724000,201429,2779,12529,91988,94133
1983,25174000,194491,2639,12093,85826,93933
1984,25622000,195589,2717,11702,83924,97246
1985,26365000,201763,2770,11421,86387,101185
1986,26981000,248370,3038,12119,92512,140701
1987,27663000,253943,2924,12109,83341,155569
1988,28168000,261912,2936,11780,86141,161055
1989,29063000,284136,3158,11966,96431,172581
1990,29760021,311051,3553,12688,112208,182602
1991,30380000,331122,3859,12896,124939,189428
1992,30867000,345624,3921,12761,130897,198045
1993,31211000,336381,4096,11766,126436,194083
1994,31431000,318395,3703,10984,112160,191548
1995,31589000,305154,3531,10554,104611,186458
1996,31878000,274996,2916,10244,94222,167614
1997,32268000,257582,2579,10189,81468,163346
1998,32667000,229883,2171,9782,68782,149148
1999,33145121,207879,2005,9363,60039,136472
2000,33871648,210531,2079,9785,60249,138418
2001,34600463,212867,2206,9960,64614,136087
2002,35001986,208388,2395,10198,64968,130827
2003,35462712,205551,2407,9994,63770,129380
2004,35842038,189175,2392,9615,61768,115400
2005,36154147,190178,2503,9392,63622,114661
2006,36457549,194483,2486,9235,71142,111620
2007,36553215,191561,2262,9046,70706,109547
2008,36756666,185329,2142,8903,69388,104896
2009,36961664,174934,1972,8713,64093,100156
2010,37338198,164133,1809,8331,58116,95877
2011,37683933,154943,1792,7665,54291,91195
2012,38041430,160944,1884,7837,56521,94702
