Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault
1977,8452000,58052,859,3348,15885,37960
1978,8594000,65792,949,3960,17701,43182
1979,8860000,73881,1084,4576,22097,46124
1980,9567112,94095,1387,5439,34015,53254
1981,10166000,98109,1522,5707,35473,55407
1982,10416000,93411,1409,5587,31002,55413
1983,10680000,88292,1199,5170,28126,53797
1984,10976000,95270,1264,5570,30311,58125
1985,11366000,106971,1296,6004,35506,64165
1986,11675000,121013,1371,6152,42822,70668
1987,12023000,123168,1371,6032,42869,72896
1988,12377000,138343,1416,6154,49916,80857
1989,12671000,140575,1405,6299,51188,81683
1990,12937926,160990,1379,6781,53928,98902
1991,13277000,157243,1248,6865,53083,96047
1992,13488000,162827,1208,7310,49482,104827
1993,13679000,164975,1224,7359,48913,107479
1994,13953000,160016,1165,7301,45871,105679
1995,14166000,151711,1037,6887,42485,101302
1996,14400000,151350,1077,7508,41643,101122
1997,14654000,149996,1012,7599,40459,100926
1998,14916000,140016,967,7404,36198,95447
1999,15111244,129044,859,6990,31969,89226
2000,15982378,129777,903,7057,31809,90008
2001,16373330,130713,874,6641,32867,90331
2002,16691701,128721,911,6753,32581,88476
2003,16999181,124280,924,6727,31523,85106
2004,17385430,123754,946,6612,29997,86199
2005,17768191,125957,883,6592,30141,88341
2006,18089888,129602,1129,6475,34147,87851
2007,18251243,131878,1202,6149,38155,86372
2008,18328340,126256,1168,5972,36268,82848
2009,18537969,113541,1017,5501,30911,76112
2010,18838613,101969,987,5373,26086,69523
2011,19082262,98198,984,5273,25622,66319
2012,19317568,94087,1009,5260,23889,63929
