Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault
1977,4801000,22105,462,1359,9076,11208
1978,4860000,22738,505,1360,8943,11930
1979,4868000,25662,543,1638,10267,13214
1980,4901288,27177,544,1600,10958,14075
1981,4938000,26675,516,1465,10629,14065
1982,4951000,25078,479,1283,9554,13762
1983,4970000,23718,403,1330,8346,13639
1984,5008000,23071,358,1325,7053,14335
1985,5029000,25321,409,1468,7425,16019
1986,5066000,29310,464,1480,8624,18742
1987,5103000,27792,423,1473,8376,17520
1988,5139000,28393,413,1505,8638,17837
1989,5159000,32634,409,1587,10060,20578
1990,5117073,36602,449,1663,11073,23417
1991,5158000,39358,543,1756,12952,24107
1992,5193000,38448,547,1895,11783,24223
1993,5234000,38963,590,1894,12654,23825
1994,5278000,39240,554,1955,12178,24553
1995,5324000,35339,469,1711,10863,22296
1996,5359000,31669,433,1566,9142,20528
1997,5402000,31192,426,1525,8430,20811
1998,5439000,30222,399,1463,8116,20244
1999,5468338,27353,359,1439,7149,18406
2000,5595211,27419,347,1351,7598,18123
2001,5637309,30472,372,1383,7771,20946
2002,5669544,30557,331,1465,7024,21737
2003,5719204,28067,289,1400,6686,19692
2004,5759532,28226,354,1479,6630,19763
2005,5797703,30477,402,1625,7196,21254
2006,5842713,31897,369,1764,7597,22167
2007,5878415,32962,367,1785,7728,23082
2008,5911605,29701,456,1612,7395,20238
2009,5987580,29513,387,1606,7437,20083
2010,5995715,27440,420,1445,6185,19390
2011,6008984,26888,366,1469,6275,18778
2012,6021988,27155,389,1511,5782,19473
