Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault
1977,17924000,149087,1919,5272,84703,57193
1978,17748000,149257,1820,5168,83785,58484
1979,17649000,161906,2092,5394,93471,60949
1980,17506690,180235,2228,5405,112273,60329
1981,17594000,188178,2166,5479,120344,60189
1982,17659000,174833,2013,5159,107843,59818
1983,17667000,161489,1958,5296,94783,59452
1984,17735000,162157,1786,5599,89900,64872
1985,17783000,165365,1683,5706,89706,68270
1986,17772000,175210,1907,5415,91360,76528
1987,17825000,179691,2016,5537,89721,82417
1988,17898000,196396,2244,5479,97434,91239
1989,17950000,203042,2246,5242,103983,91571
1990,17990455,212458,2605,5368,112380,92105
1991,18058000,210184,2571,5085,112342,90186
1992,18119000,203311,2397,5152,108154,87608
1993,18197000,195352,2420,5008,102122,85802
1994,18169000,175433,2016,4700,86617,82100
1995,18136000,152683,1550,4290,72492,74351
1996,18185000,132206,1353,4174,61822,64857
1997,18137000,124890,1093,4075,56094,63628
1998,18175000,115915,924,3843,49125,62023
1999,18196601,107147,903,3563,43821,58860
2000,18976457,105111,952,3530,40539,60090
2001,19084350,98022,960,3546,36555,56961
2002,19134293,95030,909,3885,36653,53583
2003,19212425,89486,934,3775,35790,48987
2004,19280727,84914,889,3608,33506,46911
2005,19315721,85839,874,3636,35179,46150
2006,19306183,84016,922,3168,34459,45467
2007,19297729,79962,805,2928,31085,45144
2008,19490297,77546,836,2798,31787,42125
2009,19541453,75110,781,2582,28141,43606
2010,19395206,76492,868,2797,28630,44197
2011,19501616,77463,769,2751,28405,45538
2012,19570261,79610,684,2848,28655,47423
