Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault
1960,2328284,2258,174,299,929,856
1961,2360000,2437,119,286,817,1215
1962,2448000,2478,126,182,973,1197
1963,2487000,2808,129,200,997,1482
1964,2465000,3609,110,269,1055,2175
1965,2482000,3339,110,275,957,1997
1966,2458000,3552,135,336,1015,2066
1967,2495000,3703,166,343,976,2218
1968,2518000,4473,162,383,1241,2687
1969,2568000,4775,148,366,1268,2993
1970,2559253,5194,151,400,1400,3243
1971,2610000,6719,170,432,1575,4542
1972,2634000,6289,184,501,1702,3902
1973,2663000,6556,177,532,1816,4031
1974,2709000,7588,220,676,2263,4429
1975,2712000,8225,256,737,2445,4787
1976,2766000,7926,178,747,1944,5057
1977,2811000,8899,241,821,2075,5762
1978,2880000,10165,244,893,2542,6486
1979,2892000,11719,281,953,2966,7519
1980,3001252,12589,299,1088,3147,8055
1981,3098000,13223,279,1091,3574,8279
1982,3177000,14103,344,1180,4218,8361
1983,3298000,13964,249,1247,4245,8223
1984,3298000,13438,258,1315,3668,8197
1985,3301000,13930,254,1252,3526,8898
1986,3305000,14423,269,1202,3521,9431
1987,3272000,13664,244,1173,3583,8664
1988,3263000,14179,243,1229,3428,9279
1989,3224000,15847,210,1209,4070,10358
1990,3145585,17222,253,1479,3836,11654
1991,3175000,18533,230,1615,4094,12594
1992,3212000,20005,210,1556,4376,13863
1993,3231000,20512,273,1592,3935,14712
1994,3258000,21225,226,1616,4174,15209
1995,3278000,21770,400,1461,3788,16121
1996,3301000,19710,223,1545,3519,14423
1997,3317000,18560,229,1517,3446,13368
1998,3347000,18053,204,1513,3078,13258
1999,3358044,17066,231,1375,2785,12675
2000,3450654,17177,182,1422,2615,12958
2001,3469577,17726,185,1486,2746,13309
2002,3489700,17587,163,1573,2966,12885
2003,3506469,17758,206,1501,3224,12827
2004,3523546,17635,186,1557,3090,12802
2005,3543442,18044,187,1481,3230,13146
2006,3579212,17905,210,1488,3145,13062
2007,3617316,18234,224,1565,3392,13053
2008,3642361,19359,215,1471,3698,13975
2009,3687050,18560,234,1535,3358,13433
2010,3760184,18100,195,1469,3345,13091
2011,3784163,17311,212,1410,3288,12401
2012,3814820,17902,216,1588,3231,12867
