Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault
1977,11785000,33328,655,2236,15356,15081
1978,11750000,35381,725,2195,16064,16397
1979,11731000,39133,724,2533,17855,18021
1980,11824220,43032,809,2722,21039,18462
1981,11864000,44104,729,2662,22137,18576
1982,11865000,42767,678,2448,20806,18835
1983,11895000,40782,583,2449,20501,17249
1984,11901000,38154,538,2764,17656,17196
1985,11853000,39240,550,2886,17429,18375
1986,11889000,42629,659,2984,18085,20901
1987,11936000,44087,642,3130,17241,23074
1988,12027000,43534,660,2992,16607,23275
1989,12040000,45586,753,2963,18025,23845
1990,11881643,51213,801,3068,20930,26414
1991,11961000,53824,758,3435,23191,26440
1992,12009000,51276,746,3324,21701,25505
1993,12048000,50295,823,3195,21563,24714
1994,12052000,51425,712,3145,22497,25071
1995,12072000,51586,755,3046,22858,24927
1996,12056000,57905,686,3034,22784,31401
1997,12020000,53140,705,3289,18788,30358
1998,12001000,50470,633,3223,19787,26827
1999,11994016,50431,592,3279,18670,27890
2000,12281054,51584,602,3247,18155,29580
2001,12303104,50432,651,3467,17500,28814
2002,12328827,49578,624,3731,17163,28060
2003,12370761,49210,647,3556,17980,27027
2004,12394471,50998,650,3535,18474,28339
2005,12405348,52761,756,3586,19214,29205
2006,12440621,55028,741,3611,21095,29581
2007,12432792,51806,725,3443,19440,28198
2008,12448279,51044,705,3485,18873,27981
2009,12604767,48188,664,3626,17504,26394
2010,12717722,46612,653,3472,16375,26112
2011,12743948,46189,639,3339,16165,26046
2012,12763536,44503,685,3327,15673,24818
