Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault
1977,12830000,52309,1705,4338,19552,26714
1978,13014000,56650,1853,4927,21395,28475
1979,13385000,67988,2235,6043,25667,34043
1980,14169829,77978,2392,6700,29547,39339
1981,14755000,78560,2446,6821,28528,40765
1982,15280000,88178,2466,6816,33618,45278
1983,15724000,80546,2239,6333,29769,42205
1984,15989000,80737,2093,7343,28540,42761
1985,16370000,90030,2132,8364,31680,47854
1986,16682000,109925,2258,8607,40021,59039
1987,16789000,105961,1959,8068,38053,57881
1988,16780000,109499,2022,8119,39301,60057
1989,16991000,111889,2029,7951,37913,63996
1990,16986510,129343,2389,8750,44297,73907
1991,17349000,145743,2652,9266,49700,84125
1992,17656000,142369,2239,9437,44588,86105
1993,18031000,137419,2147,9922,40469,84881
1994,18378000,129838,2022,9102,37643,81071
1995,18724000,124303,1693,8563,33667,80380
1996,19128000,123270,1477,8376,32804,80613
1997,19439000,117126,1327,8011,30522,77266
1998,19760000,111566,1346,7913,28677,73630
1999,20044141,112306,1217,7614,29405,74070
2000,20851820,113653,1238,7856,30257,74302
2001,21370983,122155,1332,8169,35348,77306
2002,21736925,126018,1302,8508,37580,78628
2003,22103374,122246,1422,8025,37017,75782
2004,22471549,121554,1364,8388,35817,75985
2005,22928508,121091,1407,8511,35790,75383
2006,23507783,121602,1386,8429,37256,74531
2007,23904380,122014,1419,8460,38778,73357
2008,24326974,123585,1370,8055,37739,76421
2009,24782302,121684,1330,8311,38022,74021
2010,25253466,113231,1249,7622,32843,71517
2011,25631778,104734,1130,7486,28620,67498
2012,26059203,106476,1144,7711,30382,67239
