Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault
1977,5135000,14893,460,1199,4727,8507
1978,5148000,14743,452,1168,5000,8123
1979,5197000,15642,447,1407,5799,7989
1980,5323412,16355,459,1458,6392,8046
1981,5426000,17456,464,1478,7229,8285
1982,5491000,16970,405,1366,6708,8491
1983,5550000,16236,387,1370,6132,8347
1984,5636000,16660,434,1503,5765,8958
1985,5706000,16813,405,1551,5720,9137
1986,5787000,17708,411,1533,6118,9646
1987,5904000,17414,437,1537,6244,9196
1988,5996000,17940,468,1622,6748,9102
1989,6098000,19057,480,1638,6494,10445
1990,6187358,21694,545,1915,7626,11608
1991,6286000,23459,583,1879,8651,12346
1992,6377000,23907,564,2008,8787,12548
1993,6491000,24160,539,2083,9216,12322
1994,6552000,23437,571,1868,8704,12294
1995,6618000,23921,503,1799,8718,12901
1996,6675000,22782,500,1783,8181,12318
1997,6734000,23249,488,1819,8384,12558
1998,6791000,22115,422,1810,7171,12712
1999,6872912,21626,392,1720,6947,12567
2000,7078515,19943,401,1616,6295,11631
2001,7196750,20939,364,1770,6860,11945
2002,7287829,21256,388,1839,6961,12068
2003,7365284,20490,416,1807,6713,11554
2004,7481332,20608,390,1816,6899,11503
2005,7564327,21434,458,1763,7495,11718
2006,7642884,21683,403,1829,7779,11672
2007,7712091,21035,415,1793,7696,11131
2008,7769089,20031,370,1794,7470,10397
2009,7882590,18195,370,1572,6342,9911
2010,8023953,17184,376,1580,5678,9550
2011,8104384,16014,304,1591,5425,8694
2012,8185867,15564,314,1452,4706,9092
